User,Card,Year,Month,Day,Amount,UseChip,MerchantName,MerchantCity,MerchantState,Zip,MCC,target
244.0,1.0,2011.0,1.0,12.0,$80.00,Swipe Transaction,Money Transfer Company 1,Cherry Point,NC,28533.0,4829.0,No
1335.0,0.0,2019.0,6.0,13.0,$48.48,Chip Transaction,Restaurant Chain 5,Morgan Hill,CA,95037.0,5812.0,No
300.0,4.0,2007.0,9.0,17.0,$23.92,Swipe Transaction,Torres Ale House,Freeport,NY,11520.0,5813.0,No
508.0,0.0,2019.0,5.0,9.0,$50.14,Swipe Transaction,Clothing Store 2,Clarkston,MI,48346.0,5651.0,No
1474.0,0.0,2019.0,10.0,24.0,$21.94,Online Transaction,Ride Sharing Company 2,ONLINE,CA,51694.67689524219,4121.0,No
1006.0,5.0,2018.0,8.0,31.0,$189.22,Chip Transaction,Supermarket Chain 3,Newport Beach,CA,92660.0,5411.0,No
1750.0,0.0,2016.0,12.0,11.0,$7.53,Swipe Transaction,Supermarket Chain 2,Tiffin,OH,44883.0,5411.0,No
1278.0,4.0,2002.0,8.0,3.0,$183.57,Online Transaction,Travel Booking Company 1,ONLINE,CA,51694.67689524219,4722.0,No
37.0,3.0,2009.0,2.0,18.0,$46.04,Swipe Transaction,Convenience Store Chain 1,Cincinnati,OH,45255.0,5499.0,No
478.0,3.0,2015.0,3.0,5.0,$52.14,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
611.0,0.0,2017.0,2.0,8.0,$163.43,Chip Transaction,Car Rental Company 6,Manitowoc,WI,54220.0,3395.0,No
1138.0,0.0,2004.0,5.0,23.0,$10.62,Swipe Transaction,Restaurant Chain 8,Marlborough,MA,1752.0,5812.0,No
751.0,0.0,2016.0,9.0,4.0,$65.84,Chip Transaction,Auto Service Company 6,Spokane,WA,99223.0,7538.0,No
956.0,1.0,2010.0,1.0,20.0,$49.03,Swipe Transaction,Crafts Store 1,San Jose,CA,95111.0,5970.0,No
1913.0,0.0,2012.0,1.0,17.0,$56.55,Swipe Transaction,Restaurant Chain 1,Lancaster,SC,29720.0,5812.0,No
1079.0,0.0,2013.0,8.0,24.0,$3.51,Swipe Transaction,Fast Food Chain 1,Coram,NY,11727.0,5814.0,No
1547.0,4.0,2014.0,5.0,18.0,$0.43,Swipe Transaction,Gas Station Company 3,West Bend,WI,53095.0,5541.0,No
1491.0,3.0,2010.0,5.0,24.0,$94.30,Swipe Transaction,Jakes Water,Buffalo,NY,14226.0,4900.0,No
433.0,2.0,2012.0,10.0,23.0,$1.36,Swipe Transaction,Convenience Store Chain 1,Davis,CA,95616.0,5499.0,No
1196.0,0.0,2006.0,4.0,16.0,$27.00,Swipe Transaction,Clothing Store 2,Sacramento,CA,95838.0,5651.0,No
1876.0,2.0,2015.0,2.0,17.0,$4.37,Chip Transaction,Ward Gourmet Supplies,Sabillasville,MD,21780.0,5411.0,No
531.0,3.0,2007.0,12.0,20.0,$3.93,Swipe Transaction,Pharmacy Company 4,Loveland,CO,80537.0,5912.0,No
1278.0,5.0,2014.0,3.0,6.0,$165.91,Swipe Transaction,Phone Service Provider 2,Rio Rancho,NM,87144.0,4814.0,No
1287.0,0.0,2016.0,10.0,25.0,$40.50,Chip Transaction,Vending Machine Product 2,Hendersonville,NC,28791.0,5499.0,No
772.0,4.0,2011.0,8.0,5.0,$72.47,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
1247.0,0.0,2012.0,11.0,24.0,$232.38,Online Transaction,Phone Service Provider 4,ONLINE,CA,51694.67689524219,4814.0,No
864.0,0.0,2019.0,10.0,18.0,$8.39,Chip Transaction,Zendayas Bar,Lynn,MA,1905.0,5813.0,No
1385.0,4.0,2010.0,7.0,6.0,$1.34,Swipe Transaction,Supermarket Chain 3,Rock Hill,SC,29732.0,5411.0,No
1183.0,0.0,2019.0,10.0,3.0,$37.38,Chip Transaction,Department Store 8,Lake Orion,MI,48362.0,5311.0,No
1079.0,0.0,2009.0,9.0,17.0,$1.46,Swipe Transaction,Convenience Store Chain 1,Coram,NY,11727.0,5499.0,No
124.0,0.0,2014.0,7.0,18.0,$79.80,Swipe Transaction,Ezras Market,Brooklyn,NY,11220.0,5411.0,No
188.0,2.0,2012.0,5.0,21.0,$18.03,Swipe Transaction,Zaviers Fine Foods,West Mifflin,PA,15122.0,5411.0,No
1739.0,3.0,2008.0,6.0,13.0,$84.32,Swipe Transaction,Supermarket Chain 3,Woodside,NY,11377.0,5411.0,No
82.0,3.0,2017.0,8.0,21.0,$30.15,Chip Transaction,Ronnies Beaver Eats,Beaver,PA,15009.0,5812.0,No
150.0,3.0,2004.0,4.0,9.0,$31.37,Swipe Transaction,Green Bar,Pflugerville,TX,78660.0,5813.0,No
143.0,1.0,2007.0,8.0,27.0,$53.28,Swipe Transaction,Moore Gourmet Supplies,Wilson,NC,27893.0,5411.0,No
255.0,0.0,2013.0,5.0,15.0,$110.79,Swipe Transaction,Car Rental Company 2,Baltimore,MD,21218.0,3389.0,No
1603.0,0.0,2000.0,9.0,13.0,$56.22,Swipe Transaction,Gas Station Company 4,La Grange,TX,78945.0,5541.0,No
1783.0,0.0,2012.0,11.0,8.0,$36.71,Swipe Transaction,Movie Theater Chain 2,Stockbridge,GA,30281.0,7832.0,No
188.0,0.0,2019.0,12.0,6.0,$16.79,Swipe Transaction,Aylins Pharmacy,West Mifflin,PA,15122.0,5912.0,No
1931.0,0.0,2006.0,12.0,31.0,$5.54,Swipe Transaction,Merkel Apothecary,Hobart,IN,46342.0,5912.0,No
1638.0,6.0,2015.0,9.0,16.0,$122.05,Chip Transaction,Clothing Store 3,Schererville,IN,46375.0,5651.0,No
885.0,1.0,2011.0,7.0,30.0,$169.29,Swipe Transaction,King Plumbing,Waipahu,HI,96797.0,1711.0,No
1610.0,0.0,2018.0,8.0,25.0,$1.71,Swipe Transaction,Supermarket Chain 3,Northport,AL,35475.0,5411.0,No
132.0,1.0,2019.0,6.0,4.0,$6.35,Chip Transaction,Lauryns Supermarket,Haverhill,MA,1832.0,5411.0,No
1980.0,2.0,2013.0,1.0,5.0,$56.61,Swipe Transaction,Fast Food Chain 2,Deville,LA,71328.0,5814.0,No
1721.0,3.0,2008.0,10.0,4.0,$61.43,Swipe Transaction,Auto Service Company 6,Fulda,MN,56131.0,7538.0,No
311.0,1.0,2015.0,10.0,19.0,$14.92,Chip Transaction,Mariams Kinston Theaters,Kinston,NC,28501.0,7832.0,No
1666.0,0.0,2015.0,1.0,9.0,$80.00,Chip Transaction,Money Transfer Company 1,Anaheim,CA,92801.0,4829.0,No
1150.0,1.0,2014.0,12.0,21.0,$9.68,Swipe Transaction,Reed Saint Louis Supermarket,Saint Louis,MO,63114.0,5411.0,No
617.0,0.0,2015.0,7.0,15.0,$30.31,Online Transaction,Ride Sharing Company 2,ONLINE,CA,51694.67689524219,4121.0,No
370.0,4.0,2014.0,11.0,29.0,$33.32,Swipe Transaction,Auto Service Company 12,King George,VA,22485.0,7538.0,No
1202.0,4.0,2009.0,10.0,19.0,$110.98,Swipe Transaction,Lewis Seminole Water,Seminole,OK,74868.0,4900.0,No
1804.0,2.0,2008.0,12.0,21.0,$2.01,Swipe Transaction,Convenience Store Chain 1,South China,ME,4358.0,5499.0,No
718.0,1.0,2016.0,1.0,26.0,$57.33,Chip Transaction,Jaylas Gourmet Supplies,Bedford,IA,50833.0,5411.0,No
1325.0,0.0,2006.0,5.0,4.0,$66.83,Swipe Transaction,Wholesale Club 1,Little River,SC,29566.0,5300.0,No
1358.0,2.0,2016.0,4.0,14.0,$13.77,Chip Transaction,Convenience Store Chain 1,Oxnard,CA,93033.0,5499.0,No
111.0,0.0,2013.0,7.0,14.0,$13.77,Swipe Transaction,Supermarket Chain 2,Lakewood,WA,98498.0,5411.0,No
1895.0,1.0,2005.0,1.0,6.0,$44.15,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
1579.0,0.0,2017.0,7.0,30.0,$126.63,Chip Transaction,Zaviers Grocery,Woodbridge,NJ,7095.0,5411.0,No
662.0,2.0,2010.0,4.0,8.0,$49.18,Swipe Transaction,Department Store 8,Fort Worth,TX,76179.0,5311.0,No
630.0,0.0,2008.0,2.0,9.0,$70.73,Swipe Transaction,Wholesale Club 1,Fort Benton,MT,59442.0,5300.0,No
1961.0,3.0,2016.0,11.0,4.0,$7.40,Chip Transaction,Denvers Package Store,Oak Park,CA,91377.0,5921.0,No
374.0,0.0,1998.0,10.0,11.0,$0.19,Swipe Transaction,Convenience Store Chain 3,Grand Rapids,MI,49508.0,5499.0,No
961.0,0.0,2010.0,6.0,6.0,$19.17,Swipe Transaction,Restaurant Chain 5,Chapel Hill,NC,27516.0,5812.0,No
1078.0,1.0,2011.0,2.0,3.0,$15.24,Swipe Transaction,Pharmacy Company 3,Mayfield,NY,12117.0,5912.0,No
1603.0,0.0,2012.0,12.0,19.0,$73.22,Swipe Transaction,Phone Service Provider 2,Lubbock,TX,79413.0,4814.0,No
1763.0,3.0,2006.0,7.0,12.0,$389.25,Swipe Transaction,Ariahs Legal Services,Aurora,IL,60506.0,8111.0,No
718.0,1.0,2017.0,12.0,2.0,$11.09,Chip Transaction,Supermarket Chain 3,Mount Ayr,IA,50854.0,5411.0,No
1487.0,3.0,2007.0,8.0,1.0,$13.32,Swipe Transaction,Gas Station Company 1,Hewitt,NJ,7421.0,5541.0,No
387.0,1.0,2018.0,5.0,3.0,$6.32,Chip Transaction,Department Store 3,Santa Ana,CA,92704.0,5311.0,No
336.0,3.0,2018.0,4.0,15.0,$30.22,Chip Transaction,Movie Theater Chain 1,Eagle Mountain,UT,84005.0,7832.0,No
1574.0,4.0,2007.0,5.0,9.0,$77.19,Swipe Transaction,Convenience Store Chain 1,Appleton,WI,54915.0,5499.0,No
1765.0,0.0,2016.0,8.0,30.0,$11.09,Chip Transaction,Gas Station Company 1,Washington,IN,47501.0,5541.0,No
1930.0,3.0,2007.0,12.0,14.0,$83.36,Swipe Transaction,Clothing Store 1,Hillsboro,OH,45133.0,5651.0,No
291.0,1.0,2012.0,10.0,29.0,$95.98,Swipe Transaction,Supermarket Chain 2,Atlanta,GA,30305.0,5411.0,No
1382.0,1.0,2008.0,1.0,14.0,$87.36,Swipe Transaction,Car Rental Company 7,Muleshoe,TX,79347.0,3390.0,No
21.0,1.0,2005.0,11.0,18.0,$24.75,Swipe Transaction,Clothing Store 2,Renton,WA,98055.0,5651.0,No
1439.0,2.0,2015.0,12.0,2.0,$0.52,Swipe Transaction,Convenience Store Chain 1,Redwood City,CA,94062.0,5499.0,No
1520.0,2.0,2014.0,10.0,6.0,$110.13,Swipe Transaction,Sanchez Chic Boutique,Saint Louis,MO,63125.0,5621.0,No
47.0,4.0,2016.0,2.0,5.0,$12.42,Swipe Transaction,Department Store 6,Due West,SC,29639.0,5311.0,No
1876.0,1.0,2017.0,1.0,18.0,$1.71,Chip Transaction,Ward Gourmet Supplies,Sabillasville,MD,21780.0,5411.0,No
1611.0,0.0,2001.0,6.0,18.0,$49.54,Swipe Transaction,Phone Service Provider 2,Buffalo,NY,14216.0,4814.0,No
292.0,1.0,2009.0,11.0,22.0,$62.23,Swipe Transaction,Gas Station Company 1,Jacksonville,FL,32225.0,5541.0,No
440.0,2.0,2019.0,9.0,4.0,$267.41,Chip Transaction,Car Rental Company 4,Milwaukee,WI,53218.0,3405.0,No
1233.0,4.0,2019.0,8.0,12.0,$34.36,Chip Transaction,Fast Food Chain 5,Springfield,MO,65804.0,5814.0,No
126.0,0.0,2016.0,6.0,12.0,$44.81,Chip Transaction,Movie Theater Chain 2,Lawton,OK,73507.0,7832.0,No
1746.0,3.0,2017.0,8.0,26.0,$15.12,Chip Transaction,Fast Food Chain 1,San Diego,CA,92128.0,5814.0,No
279.0,2.0,2015.0,8.0,30.0,$29.94,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
1861.0,4.0,2013.0,11.0,26.0,$10.82,Swipe Transaction,Pharmacy Company 2,Wichita,KS,67217.0,5912.0,No
1643.0,0.0,2017.0,3.0,15.0,$59.69,Chip Transaction,Casons Pharmacy,Erlanger,KY,41018.0,5912.0,No
1633.0,0.0,2019.0,7.0,26.0,$18.52,Chip Transaction,Pharmacy Company 1,Lorain,OH,44052.0,5912.0,No
1517.0,2.0,2011.0,5.0,17.0,$25.76,Swipe Transaction,Cohens Bar,Orwigsburg,PA,17961.0,5813.0,No
1502.0,3.0,2016.0,9.0,1.0,$116.81,Online Transaction,Ticket Seller 1,ONLINE,CA,51694.67689524219,7922.0,No
327.0,0.0,2015.0,1.0,15.0,$2.22,Swipe Transaction,Bookstore Company 1,Los Angeles,CA,90037.0,5942.0,No
1046.0,6.0,2016.0,2.0,13.0,$1.78,Chip Transaction,Hadlees Apothecary,Akron,OH,44301.0,5912.0,No
1616.0,2.0,2010.0,6.0,19.0,$24.36,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
1874.0,0.0,2009.0,12.0,4.0,$9.33,Swipe Transaction,Supermarket Chain 2,La Jolla,CA,92037.0,5411.0,No
1925.0,4.0,2017.0,8.0,27.0,$52.82,Chip Transaction,Everetts Diner,Houston,TX,77082.0,5812.0,No
1628.0,1.0,2013.0,8.0,24.0,$46.30,Swipe Transaction,Quentins Norwood Home Supplies,Norwood,MA,2062.0,5211.0,No
1395.0,1.0,2016.0,3.0,22.0,$2.62,Chip Transaction,Karlies Supermarket,Lincoln,NE,68504.0,5411.0,No
1307.0,0.0,2019.0,1.0,25.0,$3.19,Chip Transaction,Supermarket Chain 2,Huntington,IN,46750.0,5411.0,No
927.0,0.0,2019.0,3.0,3.0,$11.70,Chip Transaction,Wholesale Club 1,Oskaloosa,IA,52577.0,5300.0,No
1475.0,4.0,2005.0,7.0,4.0,$19.53,Swipe Transaction,Supermarket Chain 1,Windermere,FL,34786.0,5411.0,No
1306.0,6.0,2019.0,7.0,4.0,$5.70,Chip Transaction,Pharmacy Company 1,Dallas,TX,75243.0,5912.0,No
1351.0,3.0,2013.0,11.0,1.0,$82.79,Swipe Transaction,Department Store 2,Greenleaf,WI,54126.0,5311.0,No
973.0,1.0,2011.0,8.0,27.0,$46.67,Online Transaction,Auto Toll Provider 6,ONLINE,CA,51694.67689524219,4784.0,No
1751.0,1.0,2004.0,12.0,30.0,$51.72,Online Transaction,Electric Utility 1,ONLINE,CA,51694.67689524219,4900.0,No
1721.0,4.0,2019.0,3.0,5.0,$45.74,Chip Transaction,Movie Theater Chain 3,Mountain Lake,MN,56159.0,7832.0,No
1560.0,0.0,2015.0,11.0,30.0,$11.07,Online Transaction,Digital Content Company 3,ONLINE,CA,51694.67689524219,5815.0,No
1037.0,2.0,2014.0,5.0,16.0,$14.72,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
1062.0,3.0,2015.0,12.0,2.0,$5.94,Chip Transaction,Supermarket Chain 3,Miami,FL,33147.0,5411.0,No
1663.0,2.0,2010.0,10.0,1.0,$25.65,Swipe Transaction,Gas Station Company 1,Magna,UT,84044.0,5541.0,No
903.0,4.0,2018.0,9.0,10.0,$11.06,Chip Transaction,Gas Station Company 2,Gardena,CA,90247.0,5541.0,No
429.0,0.0,2012.0,11.0,17.0,$4.48,Swipe Transaction,Ramirez Spirits,Bradenton,FL,34207.0,5921.0,No
759.0,0.0,2005.0,10.0,20.0,$87.49,Swipe Transaction,Bookstore Company 1,Philadelphia,PA,19111.0,5942.0,No
1075.0,4.0,2017.0,8.0,11.0,$6.59,Chip Transaction,Darwins Diner,Amherst,OH,44001.0,5812.0,No
1006.0,6.0,2013.0,8.0,22.0,$7.05,Swipe Transaction,Bookstore Company 1,Rancho Santa Margarita,CA,92688.0,5942.0,No
1781.0,6.0,2014.0,7.0,15.0,$7.43,Swipe Transaction,Gas Station Company 2,San Diego,CA,92116.0,5541.0,No
1040.0,4.0,2013.0,9.0,1.0,$27.63,Online Transaction,Ride Sharing Company 1,ONLINE,CA,51694.67689524219,4121.0,No
1889.0,3.0,2018.0,6.0,25.0,$77.14,Chip Transaction,Bellissimas Market,Calumet City,IL,60409.0,5411.0,No
1832.0,0.0,2019.0,11.0,6.0,$8.11,Chip Transaction,Lilyanas Bar,Stanton,CA,90680.0,5813.0,No
29.0,0.0,2014.0,12.0,28.0,$31.85,Online Transaction,Auto Toll Provider 1,ONLINE,CA,51694.67689524219,4784.0,No
699.0,2.0,2006.0,5.0,17.0,$34.34,Swipe Transaction,Schmidt Cottonwood Theaters,Cottonwood,AZ,86326.0,7832.0,No
667.0,1.0,2020.0,1.0,19.0,$23.06,Chip Transaction,Delivery Company 3,Bowie,MD,20720.0,9402.0,No
1616.0,2.0,2011.0,1.0,8.0,$9.18,Swipe Transaction,Gas Station Company 7,Powhatan,VA,23139.0,5541.0,No
1034.0,1.0,2018.0,9.0,27.0,$16.29,Chip Transaction,Supermarket Chain 3,Roy,UT,84067.0,5411.0,No
1327.0,5.0,2010.0,9.0,28.0,$10.23,Swipe Transaction,Davids Restaurant,Lilburn,GA,30047.0,5812.0,No
276.0,3.0,2019.0,9.0,1.0,$7.38,Chip Transaction,Brycens Broussard Wine and Liquor,Broussard,LA,70518.0,5921.0,No
389.0,5.0,2004.0,7.0,6.0,$36.33,Online Transaction,Auto Toll Provider 7,ONLINE,CA,51694.67689524219,4784.0,No
85.0,0.0,2011.0,1.0,4.0,$33.81,Swipe Transaction,Burns Restaurant,Brea,CA,92821.0,5812.0,No
143.0,1.0,2008.0,12.0,26.0,$2.47,Swipe Transaction,Arianas Wilson Rx,Wilson,NC,27893.0,5912.0,No
182.0,1.0,2012.0,5.0,23.0,$26.99,Online Transaction,Auto Toll Provider 6,ONLINE,CA,51694.67689524219,4784.0,No
694.0,1.0,2018.0,10.0,3.0,$111.12,Chip Transaction,Convenience Store Chain 1,Las Vegas,NV,89117.0,5499.0,No
1028.0,1.0,2019.0,4.0,6.0,$70.02,Chip Transaction,Supermarket Chain 5,Jackson,KY,41339.0,5411.0,No
477.0,1.0,2007.0,2.0,25.0,$78.52,Swipe Transaction,Commuter Rail System 11,Clearfield,UT,84015.0,4111.0,No
